/home/wrb15144/neural_seq_decoder/venv/lib/python3.9/site-packages/torch/functional.py:504: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at ../aten/src/ATen/native/TensorShape.cpp:3190.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
/home/wrb15144/neural_seq_decoder/src/neural_decoder/augmentations.py:91: UserWarning: Using padding='same' with even kernel lengths and odd dilation may require a zero-padded copy of the input be created (Triggered internally at ../aten/src/ATen/native/Convolution.cpp:895.)
  return self.conv(input, weight=self.weight, groups=self.groups, padding="same")
/home/wrb15144/neural_seq_decoder/src/neural_decoder/neural_decoder_trainer.py:177: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  torch.tensor(pred[iterIdx, 0 : adjustedLens[iterIdx], :]),
batch 0, ctc loss: 5.940215, cer: 0.960340, time/batch:   0.018
batch 100, ctc loss: 2.741332, cer: 0.832694, time/batch:   0.324
batch 200, ctc loss: 2.366641, cer: 0.695390, time/batch:   0.346
batch 300, ctc loss: 2.119666, cer: 0.604597, time/batch:   0.344
batch 400, ctc loss: 1.987399, cer: 0.553919, time/batch:   0.343
batch 500, ctc loss: 1.864821, cer: 0.518097, time/batch:   0.343
batch 600, ctc loss: 1.758045, cer: 0.490941, time/batch:   0.346
batch 700, ctc loss: 1.675185, cer: 0.456729, time/batch:   0.342
batch 800, ctc loss: 1.591705, cer: 0.440716, time/batch:   0.343
batch 900, ctc loss: 1.520935, cer: 0.418060, time/batch:   0.352
batch 1000, ctc loss: 1.474939, cer: 0.402583, time/batch:   0.348
batch 1100, ctc loss: 1.415609, cer: 0.385457, time/batch:   0.353
batch 1200, ctc loss: 1.358326, cer: 0.377409, time/batch:   0.343
batch 1300, ctc loss: 1.327519, cer: 0.365647, time/batch:   0.352
batch 1400, ctc loss: 1.277118, cer: 0.357765, time/batch:   0.350
batch 1500, ctc loss: 1.248519, cer: 0.351492, time/batch:   0.351
batch 1600, ctc loss: 1.231949, cer: 0.340844, time/batch:   0.349
batch 1700, ctc loss: 1.184200, cer: 0.333416, time/batch:   0.357
batch 1800, ctc loss: 1.162646, cer: 0.322892, time/batch:   0.356
batch 1900, ctc loss: 1.138028, cer: 0.317032, time/batch:   0.334
batch 2000, ctc loss: 1.127414, cer: 0.316083, time/batch:   0.353
batch 2100, ctc loss: 1.101742, cer: 0.308324, time/batch:   0.341
batch 2200, ctc loss: 1.076656, cer: 0.300896, time/batch:   0.347
batch 2300, ctc loss: 1.075013, cer: 0.302051, time/batch:   0.349
batch 2400, ctc loss: 1.052547, cer: 0.295242, time/batch:   0.337
batch 2500, ctc loss: 1.038474, cer: 0.286864, time/batch:   0.352
batch 2600, ctc loss: 1.024316, cer: 0.286039, time/batch:   0.340
batch 2700, ctc loss: 1.006150, cer: 0.281953, time/batch:   0.352
batch 2800, ctc loss: 0.996017, cer: 0.275762, time/batch:   0.349
batch 2900, ctc loss: 0.989529, cer: 0.275020, time/batch:   0.356
batch 3000, ctc loss: 0.974556, cer: 0.272791, time/batch:   0.348
batch 3100, ctc loss: 0.972226, cer: 0.269201, time/batch:   0.346
batch 3200, ctc loss: 0.961976, cer: 0.266601, time/batch:   0.352
batch 3300, ctc loss: 0.950134, cer: 0.264950, time/batch:   0.347
batch 3400, ctc loss: 0.935453, cer: 0.262350, time/batch:   0.352
batch 3500, ctc loss: 0.939756, cer: 0.262102, time/batch:   0.350
batch 3600, ctc loss: 0.937010, cer: 0.259048, time/batch:   0.349
batch 3700, ctc loss: 0.934737, cer: 0.257109, time/batch:   0.352
batch 3800, ctc loss: 0.916292, cer: 0.253518, time/batch:   0.349
batch 3900, ctc loss: 0.909832, cer: 0.252858, time/batch:   0.348
batch 4000, ctc loss: 0.914412, cer: 0.254220, time/batch:   0.351
batch 4100, ctc loss: 0.902383, cer: 0.248277, time/batch:   0.338
batch 4200, ctc loss: 0.895454, cer: 0.247121, time/batch:   0.342
batch 4300, ctc loss: 0.890403, cer: 0.246048, time/batch:   0.344
batch 4400, ctc loss: 0.892642, cer: 0.245883, time/batch:   0.349
batch 4500, ctc loss: 0.896015, cer: 0.245017, time/batch:   0.351
batch 4600, ctc loss: 0.886006, cer: 0.241302, time/batch:   0.345
batch 4700, ctc loss: 0.880522, cer: 0.240106, time/batch:   0.352
batch 4800, ctc loss: 0.877448, cer: 0.240807, time/batch:   0.352
batch 4900, ctc loss: 0.869756, cer: 0.237258, time/batch:   0.335
batch 5000, ctc loss: 0.870312, cer: 0.235979, time/batch:   0.346
batch 5100, ctc loss: 0.862114, cer: 0.235979, time/batch:   0.350
batch 5200, ctc loss: 0.868585, cer: 0.232471, time/batch:   0.347
batch 5300, ctc loss: 0.857586, cer: 0.231357, time/batch:   0.359
batch 5400, ctc loss: 0.856580, cer: 0.230779, time/batch:   0.349
batch 5500, ctc loss: 0.856783, cer: 0.229458, time/batch:   0.350
batch 5600, ctc loss: 0.855341, cer: 0.228757, time/batch:   0.352
batch 5700, ctc loss: 0.846090, cer: 0.228138, time/batch:   0.341
batch 5800, ctc loss: 0.863872, cer: 0.230655, time/batch:   0.340
batch 5900, ctc loss: 0.839826, cer: 0.225703, time/batch:   0.339
batch 6000, ctc loss: 0.847301, cer: 0.224712, time/batch:   0.344
